"","name","data","NC","props","valueType","aggregationType","model","command","path"
"93","simLPS_NC20_de10_counts_Sum_edgeR","simLPS","NC20","de10","counts","Sum","edgeR","apply_edgeR(simLPS_NC20_de10_counts_Sum)","dataOutput/modelResults/simLPS_NC20_de10_counts_Sum_edgeR.rds"
"94","simLPS_NC20_de10_counts_None_MMdream2","simLPS","NC20","de10","counts","None","MMdream2","apply_MM_dream2(simLPS_NC20_de10_counts_None)","dataOutput/modelResults/simLPS_NC20_de10_counts_None_MMdream2.rds"
"95","simLPS_NC20_de10_counts_None_MMvst","simLPS","NC20","de10","counts","None","MMvst","apply_MM_vst(simLPS_NC20_de10_counts_None)","dataOutput/modelResults/simLPS_NC20_de10_counts_None_MMvst.rds"
"96","simLPS_NC20_de10_logcounts_Mean_limmaTrend","simLPS","NC20","de10","logcounts","Mean","limmaTrend","apply_limma_trend(simLPS_NC20_de10_logcounts_Mean)","dataOutput/modelResults/simLPS_NC20_de10_logcounts_Mean_limmaTrend.rds"
"97","simLPS_NC20_de10_logcounts_None_scDD","simLPS","NC20","de10","logcounts","None","scDD","apply_scdd(simLPS_NC20_de10_logcounts_None)","dataOutput/modelResults/simLPS_NC20_de10_logcounts_None_scDD.rds"
"98","simLPS_NC20_de10_cpm_Sum_edgeR","simLPS","NC20","de10","cpm","Sum","edgeR","apply_edgeR(simLPS_NC20_de10_cpm_Sum)","dataOutput/modelResults/simLPS_NC20_de10_cpm_Sum_edgeR.rds"
"99","simLPS_NC20_de10_vstresiduals_Mean_limmaTrend","simLPS","NC20","de10","vstresiduals","Mean","limmaTrend","apply_limma_trend(simLPS_NC20_de10_vstresiduals_Mean)","dataOutput/modelResults/simLPS_NC20_de10_vstresiduals_Mean_limmaTrend.rds"
"100","simLPS_NC400_dp10_counts_None_MMvst","simLPS","NC400","dp10","counts","None","MMvst","apply_MM_vst(simLPS_NC400_dp10_counts_None)","dataOutput/modelResults/simLPS_NC400_dp10_counts_None_MMvst.rds"
"101","simLPS_NC400_dp10_counts_None_MMdream2","simLPS","NC400","dp10","counts","None","MMdream2","apply_MM_dream2(simLPS_NC400_dp10_counts_None)","dataOutput/modelResults/simLPS_NC400_dp10_counts_None_MMdream2.rds"
"102","simLPS_NC400_dp10_vstresiduals_Mean_limmaTrend","simLPS","NC400","dp10","vstresiduals","Mean","limmaTrend","apply_limma_trend(simLPS_NC400_dp10_vstresiduals_Mean)","dataOutput/modelResults/simLPS_NC400_dp10_vstresiduals_Mean_limmaTrend.rds"
"103","simLPS_NC400_dp10_logcounts_Mean_limmaTrend","simLPS","NC400","dp10","logcounts","Mean","limmaTrend","apply_limma_trend(simLPS_NC400_dp10_logcounts_Mean)","dataOutput/modelResults/simLPS_NC400_dp10_logcounts_Mean_limmaTrend.rds"
"104","simLPS_NC400_dp10_logcounts_None_scDD","simLPS","NC400","dp10","logcounts","None","scDD","apply_scdd(simLPS_NC400_dp10_logcounts_None)","dataOutput/modelResults/simLPS_NC400_dp10_logcounts_None_scDD.rds"
"105","simLPS_NC400_dp10_cpm_Sum_edgeR","simLPS","NC400","dp10","cpm","Sum","edgeR","apply_edgeR(simLPS_NC400_dp10_cpm_Sum)","dataOutput/modelResults/simLPS_NC400_dp10_cpm_Sum_edgeR.rds"
"106","simLPS_NC400_dp10_counts_Sum_limmaVoom","simLPS","NC400","dp10","counts","Sum","limmaVoom","apply_limma_voom(simLPS_NC400_dp10_counts_Sum)","dataOutput/modelResults/simLPS_NC400_dp10_counts_Sum_limmaVoom.rds"
"107","simLPS_NC400_dp10_counts_Sum_DESeq2","simLPS","NC400","dp10","counts","Sum","DESeq2","apply_DESeq2(simLPS_NC400_dp10_counts_Sum)","dataOutput/modelResults/simLPS_NC400_dp10_counts_Sum_DESeq2.rds"
"108","simLPS_NC400_dp10_counts_Sum_edgeR","simLPS","NC400","dp10","counts","Sum","edgeR","apply_edgeR(simLPS_NC400_dp10_counts_Sum)","dataOutput/modelResults/simLPS_NC400_dp10_counts_Sum_edgeR.rds"
"109","simtestis_NC400_dp10_logcounts_None_scDD","simtestis","NC400","dp10","logcounts","None","scDD","apply_scdd(simtestis_NC400_dp10_logcounts_None)","dataOutput/modelResults/simtestis_NC400_dp10_logcounts_None_scDD.rds"
"110","simtestis_NC400_dp10_cpm_Sum_edgeR","simtestis","NC400","dp10","cpm","Sum","edgeR","apply_edgeR(simtestis_NC400_dp10_cpm_Sum)","dataOutput/modelResults/simtestis_NC400_dp10_cpm_Sum_edgeR.rds"
"111","simtestis_NC400_dp10_counts_Sum_edgeR","simtestis","NC400","dp10","counts","Sum","edgeR","apply_edgeR(simtestis_NC400_dp10_counts_Sum)","dataOutput/modelResults/simtestis_NC400_dp10_counts_Sum_edgeR.rds"
"112","simtestis_NC400_dp10_counts_Sum_limmaVoom","simtestis","NC400","dp10","counts","Sum","limmaVoom","apply_limma_voom(simtestis_NC400_dp10_counts_Sum)","dataOutput/modelResults/simtestis_NC400_dp10_counts_Sum_limmaVoom.rds"
"113","simtestis_NC400_dp10_counts_Sum_DESeq2","simtestis","NC400","dp10","counts","Sum","DESeq2","apply_DESeq2(simtestis_NC400_dp10_counts_Sum)","dataOutput/modelResults/simtestis_NC400_dp10_counts_Sum_DESeq2.rds"
